Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
"Đề ôn luyện 1 (Mẫu)","5","mid1","multiple_choice","Đọc số sau: 47 812","Bốn bảy nghìn tám mười hai","Bốn mươi bảy nghìn tám trăm mười hai","Bốn bảy tám một hai","Bốn mươi bảy nghìn tám mười hai","Bốn mươi bảy nghìn tám trăm mười hai"
"Đề ôn luyện 1 (Mẫu)","5","mid1","multiple_choice","Viết số: Năm mươi tư nghìn một trăm chín mươi mốt","54 191","50 491","54 119","54 901","54 191"
"Đề ôn luyện 1 (Mẫu)","5","mid1","fill_blank","Điền số thích hợp: 6 000 + ... + 30 + 1 = 6 731","70","700","7","7000","700"
"Đề ôn luyện 1 (Mẫu)","5","mid1","multiple_choice","Số lớn nhất trong các số: 21 897; 12 789; 19 182; 28 911 là:","21 897","12 789","19 182","28 911","28 911"
"Đề ôn luyện 1 (Mẫu)","5","mid1","true_false","Đúng hay Sai: Số liền sau của 9 999 là 10 000.","Đúng","Sai","","","Đúng"
"Đề ôn luyện 1 (Mẫu)","5","mid1","comparison","Điền dấu >, <, = vào chỗ chấm: 25 300 ... 25 400",">","<","=","","<"
"Đề ôn luyện 1 (Mẫu)","5","mid1","sequence","Tìm số tiếp theo của dãy: 2, 4, 6, 8, ...","9","10","11","12","10"
"Đề ôn luyện 1 (Mẫu)","5","mid1","drag_drop","Kéo các số vào đúng vị trí để tạo thành phép tính đúng: 5 + [ ] = 12","5","6","7","8","7"
"Đề ôn luyện 1 (Mẫu)","5","mid1","multiple_choice","Số nào dưới đây có chữ số 6 ở hàng trăm?","26 734","72 643","63 247","73 462","72 643"
"Đề ôn luyện 1 (Mẫu)","5","mid1","multiple_choice","Tính giá trị biểu thức: 75 834 - (34 173 - 18 046)","59 707","59 077","57 907","50 707","59 707"
